ID;eln_id;chemist;stmat_1_chemform;stmat_2_chemform;product_1_chemform;product_2_chemform;product_3_chemform;product_4_chemform
149;ELN040616-153;wolfardj;C11H11NO;;C12H13NO;C13H15NO;;
150;ELN040616-154;wolfardj;C11H11NO;;C12H13NO;C13H15NO;;
151;ELN040616-155;wolfardj;C5H3BrClN;;C7H7BrClN;C9H11BrClN;;
152;ELN040616-156;wolfardj;C17H30ClNSn;;C19H34ClNSn;;;
153;ELN040616-157;wolfardj;C5H3Cl2N;;C7H7Cl2N;C9H11Cl2N;;
154;ELN040616-158;wolfardj;C11H10ClN3O2;;C16H18ClN3O3;;;
155;ELN046742-005;strobes3;C7H5BF4O2;;C7H3ClF4;;;
156;ELN046742-006;strobes3;C6H4BClF2O2;;C6H2Cl2F2;;;
157;ELN046742-007;strobes3;C8H8BF3O3;;C8H6ClF3O;;;
158;ELN046464-050;strobes3; C10H8BrN;;C10H7BrFN;;;
159;ELN045639-061;stenzhoy;C8H9NO3;;C14H12N2O4;;;
160;ELN045639-062;stenzhoy;C19H18N2O3;C12H14ON4;C31H30N6O3;;;
161;ELN047124-002;perrond4;C20H19NO3;;C32H22F4NO3S2;;;
162;ELN045639-063;stenzhoy;C19H18N2O3;C12H14ON4;C31H30N6O3;;;
163;ELN047124-003;perrond4;C22H23ClN2O2;;C34H26ClF4N2O2S2;;;
164;ELN045639-065;stenzhoy;C14H12N2O4;;C14H10N2O3;;;
165;ELN040616-162;wolfardj;C24H22ClF2N7O2;;C25H24ClF2N7O2;;;
166;ELN047124-004;perrond4;C22H23ClN2O2;;C34H26ClF4N2O2S2;;;
167;ELN045639-066;stenzhoy;C14H10N2O3;;C20H20N2O3;C26H30N2O3;;
168;ELN047124-005;perrond4;C19H16O4;;C31H19F4O4S2;;;
169;ELN047124-006;perrond4;C24H30ClN7O3;;C36H33ClF4N7O3S2;;;
170;ELN047147-001;strobes3;C22H23ClN2O2;;C28H34BClN2O4; C22H24BClN2O4;C22H23ClN2O3;
171;ELN047124-007;perrond4;C14H18O3;;C26H21F4O3S2;;;
172;ELN047124-008;perrond4;C20H21N3O;;C32H24F4N3OS2;;;
173;ELN047124-009;perrond4;C12H14ClNO2;;C24H17ClF4NO2S2;;;
174;ELN047124-010;perrond4;C17H19NO4;;C29H22F4NO4S2;;;
175;ELN047124-011;perrond4;C20H19NO3;;C32H22F4NO3S2;;;
176;ELN047124-012;perrond4;C20H19NO3;;C32H22F4NO3S2;;;
177;ELN047124-013;perrond4;C22H23ClN2O2;;C34H26ClF4N2O2S2;;;
178;ELN047124-014;perrond4;C20H19NO3;;C32H22F4NO3S2;;;
179;ELN045639-069;stenzhoy;C25H28N2O3;;C37H40N6O3;;;
180;ELN047124-015;perrond4;C20H19NO3;;C32H22F4NO3S2;;;
181;ELN047124-016;perrond4;C20H19NO3;;C32H26NO3S2;;;
182;ELN047124-017;perrond4;C20H19NO3;;C32H26NO3S2;;;
183;ELN045639-070;stenzhoy;C18H16N2O3;C12H14N4O;C30H28N6O3;;;
184;ELN047124-018;perrond4;C20H19NO3;;C32H26NO3S2;;;
185;ELN047124-019;perrond4;C20H19NO3;;C32H22F4NO3S2;;;
186;ELN047124-020;perrond4;C20H19NO3;;C32H26NO3S2;;;
187;ELN047124-021;perrond4;C20H19NO3;;C32H22F4NO3S2;;;
188;ELN040616-165;wolfardj;C11H11NO;;C13H15NO;C15H19NO;;
189;ELN040616-166;wolfardj;C11H11NO;;C13H15NO;C15H19NO;;
190;ELN040616-168;wolfardj;C11H11NO;;C13H15NO;C15H19NO;;
191;ELN047147-002;strobes3;C18H17BrN2O;;C18H17BrN2O2;C18H17BrN2O3;;
192;ELN047147-005;strobes3;C19H27N3O5;;C19H27N3O6;C25H38BN3O7;;
193;ELN047147-008;strobes3;C18H20ClNO3S;;C18H20ClNO4S;C18H20ClNO5S;;
194;ELN047147-009;strobes3;C22H28N2O2S;;C22H28N2O3S;C28H39BN2O4S;;
195;ELN040616-170;wolfardj;C11H11NO;;C13H15NO;C15H19NO;;
196;ELN047147-010;strobes3;C18H18BrNS;;C18H18BrNOS;C18H18BrNO2S;;
197;ELN047147-012;strobes3;C17H16Cl3NO;;C17H16Cl3NO2;C17H16Cl3NO3;;
198;ELN047147-013;strobes3;C24H27NO2;;C24H27NO3;C24H27NO4;;
199;ELN045639-071;stenzhoy;C21H20N2O3;;C20H18N2O3;C32H30N6O3;;
200;ELN047147-016;strobes3;C21H23Cl2NO;;C21H23Cl2NO2;C21H23Cl2NO3;;
201;ELN047147-017;strobes3;C20H18ClNO4;;C20H18ClNO5;C20H18ClNO6;;
202;ELN047124-022;perrond4;C20H19NO3;;C32H26NO3S2;;;
203;ELN047124-023;perrond4;C20H19NO3;;C32H26NO3S2;;;
204;ELN047124-024;perrond4;C20H19NO3;;C32H26NO3S2;;;
205;ELN047147-021;strobes3;C25H23NO;;C25H23NO2;C25H23NO3;;
206;ELN047124-025;perrond4;C20H19NO3;;C32H26NO3S2;;;
207;ELN047124-026;perrond4;C20H19NO3;;C32H26NO3S2;;;
208;ELN040616-171;wolfardj;C11H11NO;;C13H15NO;C15H19NO;;
209;ELN040616-172;wolfardj;C11H11NO;;C13H15NO;C15H19NO;;
210;ELN040616-173;wolfardj;C11H11NO;;C13H15NO;C15H19NO;;
211;ELN047147-026;strobes3;C20H23ClN2O4;;C20H23ClN2O5;C20H23ClN2O6;;
212;ELN047147-027;strobes3;C21H25NO4;;C21H25NO5;C21H25NO6;;
213;ELN047147-029;strobes3;C18H18N4O4;;C18H18N4O5;C18H18N4O6;;
214;ELN047147-034;strobes3;C15H18Cl2O2S2;;C15H18Cl2O3S2;C15H18Cl2O4S2;;
215;ELN047147-039;strobes3;C19H15ClO3S;;C19H15ClO4S;C19H15ClO5S;;
216;ELN047147-040;strobes3;C18H18N4O4;;C18H18N4O5;C18H18N4O6;;
217;ELN040616-174;wolfardj;C21H20N2O3;;C20H18N2O3;C32H30N6O3;;
218;ELN047124-027;perrond4;C20H19NO3;;C32H26NO3S2;;;
219;ELN047124-028;perrond4;C20H19NO3;;C32H26NO3S2;;;
220;ELN040616-175;wolfardj;C19H18N2O3;;C18H16N2O3;C30H28N6O3;;
221;ELN047147-041;strobes3;C20H13F3N2O2;;C20H13F3N2O3;C20H13F3N2O4;;
222;ELN047124-029;perrond4;C20H19NO3;;C32H26NO3S2;;;
223;ELN047124-030;perrond4;C20H19NO3;;C32H26NO3S2;;;
224;ELN047124-031;perrond4;C20H19NO3;;C32H26NO3S2;;;
225;ELN047124-032;perrond4;C20H19NO3;;C32H26NO3S2;;;
226;ELN047124-033;perrond4;C20H19NO3;;C32H26NO3S2;;;
227;ELN047147-044;strobes3;C17H17F6N3O;;C17H17F6N3O2;C17H17F6N3O3;;
228;ELN040616-179;wolfardj;C14H10N2O3;;C27H25N3O5;;;
229;ELN040616-180;wolfardj;C8H9NO3;;C14H12N2O4;;;
230;ELN040616-181;wolfardj;C14H12N2O4;;C14H10N2O3;;;
231;ELN047147-007;strobes3;C19H17Cl2NO2;;C19H17Cl2NO3;C19H17Cl2NO4;;
232;ELN040616-185;wolfardj;C27H25N3O5;C12H14N4O;C26H23N3O5;C38H35N7O5;;
233;ELN040616-186;wolfardj;C27H25N3O5;C12H14N4O;C26H23N3O5;C38H35N7O5;;
234;ELN040616-187;wolfardj;C27H25N3O5;C12H14N4O;C26H23N3O5;C38H35N7O5;;
235;ELN047147-050;strobes3;C23H21ClN2O5;;C23H21ClN2O6;C23H21ClN2O7;C23H22BClN2O7;C29H32BClN2O7
236;ELN047147-051;strobes3;C17H22N2O4;C13H14N2O4;C17H22N2O5;C13H14N2O5;C17H22N2O6;C13H14N2O6
237;ELN047147-052;strobes3;C17H22N2O4;C13H14N2O4;C23H33BN2O6;C17H23BN2O6;C19H25BN2O6;C13H15BN2O6
238;ELN040616-189;wolfardj;C14H10N2O3;;C27H25N3O5;;;
239;ELN047124-034;perrond4;C20H19NO3;;C32H26NO3S2;C32H22F4NO3S2;;
240;ELN047124-035;perrond4;C20H19NO3;;C32H26NO3S2;C32H22F4NO3S2;;
241;ELN047147-054;strobes3;C17H22N2O4;C13H14N2O4;C12H14N2O2;;;
242;ELN047147-055;strobes3; C12H14N2O2;C9H8O3;C21H20N2O4;;;
243;ELN047124-036;perrond4;C20H19NO3;;C32H26NO3S2;;;
244;ELN047124-037;perrond4;C20H19NO3;;C32H26NO3S2;;;
245;ELN047124-038;perrond4;C20H19NO3;;C32H22F4NO3S2;;;
246;ELN047124-039;perrond4;C20H19NO3;;C32H22F4NO3S2;;;
247;ELN047147-056;strobes3;C21H20N2O4;;C23H21ClN2O5;;;
248;ELN040616-194;wolfardj;C14H10N2O3;;C25H21N3O5;;;
249;ELN040616-195;wolfardj;C38H35N7O5;;C30H29N7O3;;;
250;ELN040616-196;wolfardj;C38H35N7O5;;C30H29N7O3;;;
251;ELN040616-197;wolfardj;C38H35N7O5;;C30H29N7O3;;;
252;ELN047147-057;strobes3;C23H21ClN2O5;;C29H32BClN2O7;C23H22BClN2O7; C35H43B2ClN2O9;C23H23B2ClN2O9
253;ELN047147-059;strobes3;C29H32BClN2O7;;C23H21ClN2O6;;;
254;ELN047147-060;strobes3;C29H32BClN2O7;;C23H20Cl2N2O5;;;
255;ELN047147-058;strobes3;C23H21ClN2O5;;C29H32BClN2O7; C23H22BClN2O7;;
256;ELN047124-040;perrond4;C22H23ClN2O2;;C34H30ClN2O2S2;;;
257;ELN047124-041;perrond4;C22H23ClN2O2;;C34H26ClF4N2O2S2;;;
258;ELN047147-061;strobes3; C12H14N2O2;C9H8O3;C21H20N2O4;;;
259;ELN047147-062;strobes3;C21H20N2O4;;C23H21ClN2O5;;;
260;ELN047147-063;strobes3;C21H20N2O4;;C23H21ClN2O5;;;
