User;ELN ID;IPC no.;Duration (h);LC-MS method (min);LC-MS instrument;LC-MS file name;IPC result
;ELN040616-090;1;18;2;MSA_92_542;MSA-23-01084;possible product P+14 observed
;ELN040616-087;1;18;2;MSA_92_542;MSA-23-01084;no conversion to product but decyclopropylation
;ELN040616-092;1;18;2;MSA_92_542;MSA-23-01105;SM and unidentified product at RT=0.88
;ELN040616-095;1;3;2;MSA_92_542;MSA-23-01107;similar peak pattern as in screening
;ELN040616-093;1;18;2;MSA_92_542;MSA-23-01110;unidentified product at RT=0.92
;ELN040616-094;1;18;2;MSA_92_542;MSA-23-01110;same LCMS pattern as in screening, product P+14 (Peak 14)
;ELN040616-093;2;20;2;MSA_92_542;MSA-23-01111;peak disappeared
;ELN040616-096;1;2;2;MSA_92_542;MSA-23-01114;only p+14 peak
;ELN040616-101;1;18;2;MSA_92_542;MSA-23-01128;p+54 found
;ELN040616-102;1;18;2;MSA_92_542;MSA-23-01128;p+56 found
;ELN040616-104;1;3;2;MSA_92_542;MSA-23-01132;no product obtained
;ELN040616-105;1;2;2;MSA_92_542;MSA-23-01139;Small peaks of desired products
;ELN040616-106;1;2;2;MSA_92_542;MSA-23-01139;Small peak of supposed P+14
;ELN040616-105;2;4;2;MSA_92_542;MSA-23-01140;Small peaks of desired products
;ELN040616-106;2;4;2;MSA_92_542;MSA-23-01140;Small peak of supposed P+14
;ELN040616-105;3;20;2;MSA_92_542;MSA-23-01143;Small peaks of desired products, added more oxidant
;ELN040616-106;3;20;2;MSA_92_542;MSA-23-01143;Small peak of supposed P+14, added more oxidant
;ELN040616-105;4;24;2;MSA_92_542;MSA-23-01144;Small peaks of desired products
;ELN040616-106;4;24;2;MSA_92_542;MSA-23-01144;Small peak of supposed P+14
;ELN040616-105;5;26;2;MSA_92_542;MSA-23-01145;Small peaks of desired products
;ELN040616-106;5;26;2;MSA_92_542;MSA-23-01145;Small peak of supposed P+14
;ELN040616-108;1;2;2;MSA_92_542;MSA-23-01169;SM and P+14 visible
;ELN040616-107;1;3;2;MSA_92_542;MSA-23-01170;SM and P+14 visible
;ELN040616-108;2;5;2;MSA_92_542;MSA-23-01171;SM and P+14 visible
;ELN040616-107;2;5;2;MSA_92_542;MSA-23-01171;SM and P+14 visible
;ELN040616-108;3;22;2;MSA_92_542;MSA-23-01173;SM and P+14 visible, added Oxidant again
;ELN040616-108;4;25;2;MSA_92_542;MSA-23-01174;SM and P+14 visible
;ELN040616-109;1;1;2;MSA_92_542;MSA-23-01184;SM and small amounts of P+70 visible
;ELN040616-110;1;1;2;MSA_92_542;MSA-23-01184;SM and small amounts of P+68 visible
;ELN040616-111;1;1;2;MSA_92_542;MSA-23-01184;SM and small amounts of P+54 visible
;ELN040616-112;1;1;2;MSA_92_542;MSA-23-01184;SM and small amounts of P+68 visible
;ELN040616-109;2;4;2;MSA_92_542;MSA-23-01185;SM and small amounts of P+70 visible
;ELN040616-110;2;4;2;MSA_92_542;MSA-23-01185;SM and small amounts of P+68 visible
;ELN040616-111;2;4;2;MSA_92_542;MSA-23-01185;SM and small amounts of P+54 visible
;ELN040616-112;2;4;2;MSA_92_542;MSA-23-01185;SM and small amounts of P+68 visible
;ELN040616-109;3;20;2;MSA_92_542;MSA-23-01186;Still SM but more P+70
;ELN040616-110;3;20;2;MSA_92_542;MSA-23-01186;Still SM but more P+68
;ELN040616-111;3;20;2;MSA_92_542;MSA-23-01186;Still SM but more P+54
;ELN040616-112;3;20;2;MSA_92_542;MSA-23-01186;Still SM but more P+68
;ELN045640-001;1;2;2;MSA_92_542;MSA-23-01188;no conversion
;ELN045640-002;1;16;2;MSA_92_542;MSA-23-01196;no SM
;ELN045640-003;1;16;2;MSA_92_542;MSA-23-01196;still SM
;ELN045640-002;2;20;2;MSA_92_542;MSA-23-01199;mass of product not detected, no SM
;ELN045640-003;2;20;2;MSA_92_542;MSA-23-01199;mass of product not detected, no SM
;ELN045640-002;3;30;2;MSA_92_542;MSA-23-01201;peak of desired product
;ELN045640-003;3;30;2;MSA_92_542;MSA-23-01201;peak of desired product
;ELN045640-004;1;18;2;MSA_92_542;MSA-23-01201;no SM, small peak of prodct
;ELN040616-113;1;17;2;MSA_92_542;MSA-23-01212;
;ELN040616-114;1;17;2;MSA_92_542;MSA-23-01212;
;ELN040616-113;2;25;2;MSA_92_542;MSA-23-01216;
;ELN040616-114;2;25;2;MSA_92_542;MSA-23-01216;
;ELN040616-113;3;41;2;MSA_92_542;MSA-23-01216;
;ELN040616-114;3;41;2;MSA_92_542;MSA-23-01216;
;ELN045640-005;1;21;2;MSA_92_542;MSA-23-01229;mass of SM, no mass of P
;ELN045640-006;1;19;2;MSA_92_542;MSA-23-01229;
;ELN045640-005;2;26;2;MSA_92_542;MSA-23-01234;mass of SM, no mass of P
;ELN045640-005;3;45;2;MSA_92_542;MSA-23-01239;no P
;ELN045640-007;1;18;2;MSA_92_542;MSA-23-01244;no SM, mass of P not detected
;ELN045640-008;1;18;2;MSA_92_542;MSA-23-01244;no SM, mass of P not detected
;ELN045640-008;2;24;2;MSA_92_542;MSA-23-01246;no SM, no P
;ELN045640-009;1;6;2;MSA_92_542;MSA-23-01246;mass of P, still SM
;ELN045640-008;3;42;2;MSA_92_542;MSA-23-01248;no P, no SM
;ELN045640-009;2;24;2;MSA_92_542;MSA-23-01248;mass of P
;ELN045640-010;1;23;2;MSA_92_542;MSA-23-01251;P detected (1.29)
;ELN045640-011;1;20;2;MSA_92_542;MSA-23-01261;no mass of P
;ELN045640-012;1;17;2;MSA_92_542;MSA-23-01261;no mass of P
;ELN045640-013;1;17;2;MSA_92_542;MSA-23-01261;no mass of P
;ELN045640-015;1;3,5;2;MSA_92_542;MSA-23-01273;no SM, mass of P not detected
;ELN045640-016;1;2;2;MSA_92_542;MSA-23-01274;still SM
;ELN045640-017;1;2;2;MSA_92_542;MSA-23-01274;still SM
;ELN045640-016;2;4;2;MSA_92_542;MSA-23-01277;still SM
;ELN045640-017;2;4;2;MSA_92_542;MSA-23-01277;still SM
;ELN045640-014;1;16,5;2;MSA_92_542;MSA-23-01278;no SM, mass of P not detected
;ELN045640-016;3;20,5;2;MSA_92_542;MSA-23-01278;still SM
;ELN045640-017;3;20,5;2;MSA_92_542;MSA-23-01278;still SM
;ELN045640-018;1;2;2;MSA_92_542;MSA-23-01281;no product
;ELN045639-001;1;1;2;MSA_92_542;MSA-23-01310;full conversion, mainly dialkylated P
;ELN045639-002;1;1;2;MSA_92_542;MSA-23-01312;full conversion, mainly dialkylated P
;ELN045639-003;1;1;2;MSA_92_542;MSA-23-01312;no conversion
;ELN045639-004;1;1;2;MSA_92_542;MSA-23-01313;no conversion
;ELN045639-003;2;2;2;MSA_92_542;MSA-23-01315;no conversion
;ELN045639-004;2;2;2;MSA_92_542;MSA-23-01315;no conversion
;ELN045639-003;3;18;2;MSA_92_542;MSA-23-01317;mainly monoalkylated products
;ELN045639-004;3;18;2;MSA_92_542;MSA-23-01317;mainly monoalkylated products
;ELN045640-021;1;2;2;MSA_92_542;MSA-23-01320;SM, no product
;ELN045640-021;2;21;2;MSA_92_542;MSA-23-01327;SM, no product
;ELN045640-022;1;17;2;MSA_92_542;MSA-23-01330;no SM, no mass of product
;ELN045640-023;1;17;2;MSA_92_542;MSA-23-01330;product, no SM
;ELN045640-019;1;3,5;2;MSA_92_542;MSA-23-01335;
;ELN045640-020;1;3,5;2;MSA_92_542;MSA-23-01335;
;ELN045639-005;1;1;2;MSA_92_542;MSA-23-01333;full conversion, mainly dialkylated product
;ELN045639-006;1;1;2;MSA_92_542;MSA-23-01333;full conversion 
;ELN045639-007;1;1;2;MSA_92_542;MSA-23-01336;still SM, mono and dialkylated products
;ELN045639-008;1;1;2;MSA_92_542;MSA-23-01336;still SM, only monoalkylated product
;ELN045639-009;1;1;2;MSA_92_542;MSA-23-01336;no conversion
;ELN045639-010;1;1;2;MSA_92_542;MSA-23-01336;no conversion
;ELN045639-007;2;2;2;MSA_92_542;MSA-23-01337;still SM, mono and dialkylated products
;ELN045639-008;2;2;2;MSA_92_542;MSA-23-01337;still SM, only monoalkylated product
;ELN045640-019;2;6,5;2;MSA_92_542;MSA-01338;no more SM
;ELN045640-020;2;6,5;2;MSA_92_542;MSA-01338;still SM
;ELN045639-009;2;2;2;MSA_92_542;MSA-23-01339;no conversion
;ELN045639-010;2;2;2;MSA_92_542;MSA-23-01339;no conversion
;ELN045639-009;3;18;2;MSA_92_542;MSA-23-01343;still SM, mainly monoalkylated product
;ELN045639-010;3;18;2;MSA_92_542;MSA-23-01343;still SM, mono and dialkylated products
;ELN045640-019;3;23;2;MSA_92_542;MSA-23-01346;no SM
;ELN045640-020;3;23;2;MSA_92_542;MSA-23-01346;no SM
